Store,Carrefour Market,
Address,Paris Nationale,
,,
Description,Qte,Montant
,,
100G TARAMA CABILL,,1.24
4ASS CRÈME CEPES,,1.72
500G MUESLI CRF,,2.94
ABBAY. LEFFE BRUNE,,4.18
AVOCAT PIECE,,0.75
BANANE 750G IMPORT,,1.19
BETTERAVE 250 G,,0.9
BUCHE FONDANTE,,1.9
CACAHUETES S/SEL,,0.87
CARROTE EXTRA,0.1750 x 0.80,0.14
CHAMP A FARCIR,0.1810 x 4.20,0.76
CHOU ROUGE,,2.2
CITRON JNE PIECE,3 x 0.50,1.5
FLT HARENG NAT.CRF,,1.67
FROMAGE DE BREBIS,,1.9
GALETTES ST MICHEL,,0.83
LEGUMES,,0.5
OIGNON JAUNE CRF,0.0955 x 2.20,0.21
PDT CONSERV.GROSSE,0.3071 x 1.40,0.43
PISTACHE COQUE CRF,0.2944 x 1.80,1.75
POIREAU,,0.53
ROQUEFORT CRF 150G,,2.02
TOTAL ALIMENTAIRE,,30.13
,,
,,
SAC BRETTELLLE,,0.03
SAC CABAS PP,,0.69
TOTAL NON ALIMENTAIRE,,0.72
,,
TOTAL,,30.85
